Company Particulars that have been changed,Information/ documents that must be provided to IRAS,context
Name,Company's tax reference numberCompany's name before the update with ACRACompany's new name that has been updated with ACRAA copy of ACRA's email notification on change in name of your company or a copy of Biz Profile extracted from ACRA,updating-company-particulars Updating IRAS Directly for Urgent Matters
Address,Company's tax reference numberCompany's nameCompany's new address that has been updated with ACRAYou do not need to submit any supporting documents to IRAS.,updating-company-particulars Updating IRAS Directly for Urgent Matters
