HDB flat type,Payout per quarter,Payout per quarter.1,context
HDB flat type,"Household earns ≤ $1,300 per person","Household earns $1,301-$1,800 per person",silver-support-scheme table_0
1-room and 2-room,$900,$450,silver-support-scheme table_0
3-room,$720,$360,silver-support-scheme table_0
4-room,$540,$270,silver-support-scheme table_0
"5-room  (live in, but not owned)",$360,$180,silver-support-scheme table_0
