Year of Assessment,Period of stay (inclusive of work) in Singapore,Tax residency status,context
2023,4 Aug 2022 to 31 Dec 2022 (150 days),Non-resident,working-out-my-tax-residency             Example 3c: Worked in Singapore for a period not straddling 2 calendar years        
2024,1 Jan 2023 to 7 Apr 2023 (97 days),Non-resident,working-out-my-tax-residency             Example 3c: Worked in Singapore for a period not straddling 2 calendar years        
