Monthly Wage of ex-offender employee ($),Payout,context
"≤ $3,000",20% of wage,uplifting-employment-credit             The full employer exclusion list is appended:        
">$3,000 to <$4,000","$2,400 - (0.6*wage)",uplifting-employment-credit             The full employer exclusion list is appended:        
