Title,When to Use the Forms,Last Updated,context
"Forms SC1, SC2 & SC4 (188KB)",For cases where the deceased died domiciled in Singapore,Sep 2008,estate-duty-forms table_0
Form SC6 (37KB),For additional assets not declared in Form SC4 previously,Sep 2008,estate-duty-forms table_0
"Forms SC1, SC3 & SC5 (51KB)",For cases where the deceased died domiciled outside Singapore,Sep 2008,estate-duty-forms table_0
Form SC7 (37KB),For additional assets not declared in Form SC5 previously,Sep 2008,estate-duty-forms table_0
Form SC8 (55.5KB),For amendments to declarations in Forms SC4 / SC6 / SC5 / SC7,Sep 2008,estate-duty-forms table_0
