Type of Entity,Due Date for Paper Filing for YAs 2011 to 2018,Due Date for e-Filing for YAs 2011 to 2018,context
Sole-Proprietorships and Partnerships,15 Apr,18 Apr,productivity-and-innovation-credit-(pic)-scheme Claiming Tax Deductions Allowances
Companies,30 Nov,15 Dec,productivity-and-innovation-credit-(pic)-scheme Claiming Tax Deductions Allowances
