To/From Outside Singapore,Not applicable.,context
Within FTZ or Designated Area,Zero-rated only if on imported goods or goods for export.,logistics-and-freight-forwarding             Zero-Rating Storage Services        
Within Singapore but Outside FTZs or Designated Areas,"Zero-rated only under these scenarios:Scenario 1Storage services provided at the first leg of import (i.e. from FTZ or designated area to first destination in Singapore) are supplied to and directly benefitting an overseas person in business capacity, where the supplier must also  provide transportation services for the first leg.With effect from 1 Jan 2020, zero-rating is extended to such services to an overseas person in business capacity and directly benefitting a GST-registered person in Singapore.Scenario 2Storage services are supplied to an overseas customer (in business or personal capacity) on goods for export.In addition to Scenario 1 and 2, storage services performed on qualifying goods stored in Approved Specialised Warehouses can be zero-rated to overseas persons under the Specialised Warehouse Scheme.For more information, please refer to GST: Specialised Warehouse Scheme and Zero-rating of Supplies (PDF, 409KB).",logistics-and-freight-forwarding             Zero-Rating Storage Services        
