Total Value of Supplies,"$100,000",context
Net GST Amount Payable in Error,$720 ($800 - $80),correcting-errors-made-in-gst-return-(filing-gst-f7)             Example 1: Errors made in GST F5        
"Total Amounts in Error for all other boxes except Box 6, 7 and 12","= $11,000 ($10,000 + $1,000).",correcting-errors-made-in-gst-return-(filing-gst-f7)             Example 1: Errors made in GST F5        
