"Artiste fees, etc","$7,500",context
"Add: Tax allowance $7,500 x 15/85","$1,323.53",withholding-tax-calculations-for-non-resident-public-entertainer table_2
Taxable Gross Income,"$8,823.53",withholding-tax-calculations-for-non-resident-public-entertainer table_2
Withholding Tax @ 15%,"$1,323.53",withholding-tax-calculations-for-non-resident-public-entertainer table_2
