Publication Date,Title,context
22 Jun 2020,"GST registration liability arising from the sale of non-residential properties (PDF, 89KB)",advance-ruling-system-for-gst Timeline for publication of advance ruling
13 Jul 2022,"GST registration liability arising from the sale of non-residential properties (PDF, 43KB)",advance-ruling-system-for-gst Timeline for publication of advance ruling
