Tax Computation,YA 2023 (US$),YA 2022 (US$),context
Adjusted profit/ (loss),"(80,000)",90000,preparing-a-tax-computation             FAQs        
Less: Loss carried back,76923,"(76,923)*",preparing-a-tax-computation             FAQs        
Chargeable income before partial tax exemption,NIL,13077,preparing-a-tax-computation             FAQs        
Unutilised loss c/f,3077,NIL,preparing-a-tax-computation             FAQs        
