Fund’s financial year end,Eligible for income tax concession,Eligible for income tax concession.1,Eligible for income tax concession.2,Eligible for GST remission for 1 year from,context
31 Mar,As at 31 Mar 2018,YA2019,Yes,1 Apr 2018 to 31 Mar 2019,finance Banking Industry
30 Jun,As at 30 Jun 2018,YA2019,Yes,1 Jul 2018 to 30 Jun 2019,finance Banking Industry
30 Sep,As at 30 Sep 2018,YA2019,Yes,1 Oct 2018 to 30 Sep 2019,finance Banking Industry
31 Dec,As at 31 Dec 2018,YA2019,Yes,1 Jan 2019 to 31 Dec 2019,finance Banking Industry
