Circular,Date,Category,context
20091120-37 Accidents involving use of gondolas,20 Nov 2009,Lifting Equipment,wsh-circulars table_15
"OSHD / LE-1 / 09 Load charts, operation manuals and safekeeping of maintenance and operational logs",18 Nov 2009,Lifting Equipment,wsh-circulars table_15
2009-35 Lifts installation works,1 May 2009,Lift and hoist,wsh-circulars table_15
