Total value of goods imported by Parcel Post,Do I need to pay GST?,context
$200,No. The CIF value is not more than $400.,importing-of-goods             Example        
$450,Yes. The CIF value is more than $400. GST payable = $450 X 9% = $40.50,importing-of-goods             Example        
