Price display format,Price display format.1,context
Acceptable,Not acceptable,buying-from-a-gst-registered-business Example:
$109,$100 +,buying-from-a-gst-registered-business Example:
$109 w/GST $109 (inclusive of GST),$100 + GST $100 + 9% GST $100 + $9 GST,buying-from-a-gst-registered-business Example:
$109 w/GST ($100) $109 w/GST ($100),$109 w/GST ($100),buying-from-a-gst-registered-business Example:
$109 w/GST($100 w/o GST),$100 w/o GST($109 w/GST),buying-from-a-gst-registered-business Example:
