Unnamed: 0,Total (S$),context
Total foreign income taxes paid in countries A and B,5500,claiming-foreign-tax-credit             FTC pooling system computation        
Total Singapore tax payable on foreign income from countries A and B,5100,claiming-foreign-tax-credit             FTC pooling system computation        
FTC allowed (lower of total foreign taxes and total Singapore tax payable on foreign income from countries A and B),5100,claiming-foreign-tax-credit             FTC pooling system computation        
"Net Singapore tax payable on the foreign income after offsetting FTC ($5,100 - $5,100)",0,claiming-foreign-tax-credit             FTC pooling system computation        
