Missing details on the tax invoice,"The supplier's name, address and GST registration number are not shown. For purchases >S$1,000, the words ""tax invoice"", name of customer or GST amount is not shown. For purchases ≤ S$1,000, the GST amount or a statement similar to ""price payable includes GST"" is not shown. For purchases in foreign currency, the Singapore dollar equivalent amounts are not shown.",context
Supplier is not GST-registered,"Your supplier does not have a GST registration number or the GST registration number shown has expired/is not valid. You can check on your supplier's GST registration status, period of registration and GST registration number using the GST Registered Business Search.",conditions-for-claiming-input-tax             Examples of invalid tax invoice        
