Non-compliance,Penalties,context
Failure to notifyLate filing or failure to file a CbC Report,"A fine of up to $5,000; imprisonment of up to 6 months for the person responsible for the offence where the fine is not paidA further daily fine of up to $100 during which the offence is continuing","country-by-country-reporting-(cbcr)             Failure to Notify, File a CbC Report, or to Retain Documents and Information        "
Failure to retain documents and information used to prepare a CbC Report for 5 years after the end of the FY,"A fine of up to $1,000; imprisonment of up to 6 months for the person responsible for the offence where the fine is not paidA further daily fine of up to $50 during which the offence is continuing","country-by-country-reporting-(cbcr)             Failure to Notify, File a CbC Report, or to Retain Documents and Information        "
