Residential Properties,Non-residential Properties,context
Dwelling houses (e.g. bungalow),Boarding or guest houses,real-estate Common Examples
Living or workers' quarters,"Chalets, holiday bungalows or resorts",real-estate Common Examples
Halls of residence,Canteen in halls of residence,real-estate Common Examples
Upper floor of shop-houses approved for dwelling only,Lower floor of a shop-house approved for non-residential use,real-estate Common Examples
Serviced apartments,,real-estate Common Examples
