If you file on,NOR status applied for,NOR concessions applied for,NOR status granted for,NOR concession granted for,context
8 Nov 2020,YA 2020 to 2024,YA 2020,YA 2020 to 2024,No concession,not-ordinarily-resident-(nor)-scheme             Due date to apply for NOR status  tax concessions        
14 Apr 2021,YA 2020 to 2024,YA 2020 & 2021,YA 2020 to 2024,YA 2021,not-ordinarily-resident-(nor)-scheme             Due date to apply for NOR status  tax concessions        
8 Nov 2021,YA 2020 to 2024,YA 2021,YA 2020 to 2024,No concession,not-ordinarily-resident-(nor)-scheme             Due date to apply for NOR status  tax concessions        
10 Apr 2023,YA 2020 to 2024,YA 2023,YA 2020 to 2024,YA 2023,not-ordinarily-resident-(nor)-scheme             Due date to apply for NOR status  tax concessions        
14 Apr 2025,YA 2020 to 2024,YA 2024,YA 2020 to 2024,No concession,not-ordinarily-resident-(nor)-scheme             Due date to apply for NOR status  tax concessions        
