Document,From 22 Feb 2014,context
Mortgage,0.4% of the loan amount granted on the mortgage (subject to a maximum duty of $500),mortgaging-shares Variation to a Fixed Mortgage
Variation to Mortgage,0.4% of the loan amount granted on the mortgage (subject to a maximum duty of $500),mortgaging-shares Variation to a Fixed Mortgage
Equitable Mortgage,Exempted from stamp duty,mortgaging-shares Variation to a Fixed Mortgage
"Transfer, Assignment or Disposition of any Mortgage or Debenture","0.2% of the amount transferred, assigned or disposed, inclusive of interest which is in arrear (subject to a maximum duty of $500)",mortgaging-shares Variation to a Fixed Mortgage
