Annual Value ($),Tax rate effective from 1 Jan 2015 to 31 Dec 2022,Property tax payable,context
"First $8,000 Next $47,000",0%4%,"$0$1,880",property-tax-rates             Owner Occupier Tax Rates (Effective 1 Jan 2015 to 31 Dec 2022)        
"First $55,000Next $15,000",-6%,"$1,880$900",property-tax-rates             Owner Occupier Tax Rates (Effective 1 Jan 2015 to 31 Dec 2022)        
"First $70,000Next $15,000",-8%,"$2,780$1,200",property-tax-rates             Owner Occupier Tax Rates (Effective 1 Jan 2015 to 31 Dec 2022)        
"First $85,000Next $15,000",-10%,"$3,980$1,500",property-tax-rates             Owner Occupier Tax Rates (Effective 1 Jan 2015 to 31 Dec 2022)        
"First $100,000Next $15,000",-12%,"$5,480$1,800",property-tax-rates             Owner Occupier Tax Rates (Effective 1 Jan 2015 to 31 Dec 2022)        
"First $115,000Next $15,000",-14%,"$7,280$2,100",property-tax-rates             Owner Occupier Tax Rates (Effective 1 Jan 2015 to 31 Dec 2022)        
"First $130,000Above $130,000",-16%,"$9,380",property-tax-rates             Owner Occupier Tax Rates (Effective 1 Jan 2015 to 31 Dec 2022)        
