GST Accounting Period,Filing Due Date,GIRO Deduction Date,context
Jan - Mar,30 Apr,15 May,due-dates-and-requests-for-extension table_1
Apr - Jun,31 Jul,15 Aug,due-dates-and-requests-for-extension table_1
Jul - Sept,31 Oct,15 Nov,due-dates-and-requests-for-extension table_1
Oct - Dec,31 Jan,15 Feb,due-dates-and-requests-for-extension table_1
