Calendar year with taxable turnover exceeding $1 million,Due date to apply for GST registration,Effective date of registration,context
1 Jan to 31 Dec 20X1,30 Jan 20X2,1 Mar 20X2,do-i-need-to-register-for-gst             Example 1: Retrospective view        
