Annual Value ($),Tax rate effective from 1 Jan 2023 to 31 Dec 2023,Property tax payable,context
"First $30,000 Next $15,000",11%16%,"$3,300$2,400",property-tax-rates             Non-Owner-Occupier Residential Tax Rates (Effective 1 Jan 2023 to 31 Dec 2023)        
"First $45,000Next $15,000",-21%,"$5,700$3,150",property-tax-rates             Non-Owner-Occupier Residential Tax Rates (Effective 1 Jan 2023 to 31 Dec 2023)        
"First $60,000Above $60,000",-27%,"$8,850",property-tax-rates             Non-Owner-Occupier Residential Tax Rates (Effective 1 Jan 2023 to 31 Dec 2023)        
