Tax Computation,YA 2018 ($),YA 2019 ($),context
Taxable gain/ chargeable income,NIL,"200,000 (700,000 - 500,000)",specific-topics             Impact of FRS 39 Tax Treatment        
Is tax payable by Company Z?,No,Yes*,specific-topics             Impact of FRS 39 Tax Treatment        
