Type,Exempt supplies (GST is not applicable),Out-of-scope supplies (0% GST),context
Goods,Sale and rental of unfurnished residential property Importation and local supply of investment precious metals,Sale where goods are delivered from overseas to another place overseas Private transactions See Out-of-scope supplies for  more information.,goods-and-services-tax-(gst)-what-it-is-and-how-it-works Non-taxable supplies
Services,Financial services E.g. issue of a debt securityDigital payment tokens (from 1 Jan 2020) E.g.  exchange of Bitcoin for fiat currency,Private transactions. See Out-of-scope supplies for more information.,goods-and-services-tax-(gst)-what-it-is-and-how-it-works Non-taxable supplies
