If you work,Your contractual hours of work are,context
5 days or less a week,Up to 9 hours per day or 44 hours a week,hours-of-work-overtime-and-rest-days table_0
More than 5 days a week,Up to 8 hours a day or 44 hours a week,hours-of-work-overtime-and-rest-days table_0
