If work is done,For up to half your normal daily working hours,For more than half your normal daily working hours,Beyond your normal daily working hours,context
At the employer’s request,1 day’s salary,2 days’ salary,2 days’ salary + overtime pay,hours-of-work-overtime-and-rest-days How pay for work on a rest day is calculated
At the employee’s request,Half day’s salary,1 day’s salary,1 day’s salary + overtime pay,hours-of-work-overtime-and-rest-days How pay for work on a rest day is calculated
