Salary received as managing director,"$ 5,000 per month",context
Remuneration received as board director,"$10,000 approved on 3 Jun 2023",tax-obligations-for-non-resident-director table_0
,"$15,000 approved on 2 Dec 2023",tax-obligations-for-non-resident-director table_0
