Supply of services/goods,GST Treatment,context
"Supply of international transport of passengers: From Singapore to a place outside Singapore From a place outside Singapore to Singapore; orFrom a place outside Singapore to another place outside SingaporeE.g. Sale of air tickets, ferry tickets and coach tickets to neighbouring countries.",Zero-rate under section 21(3)(a),travel table_1
Supply of travel insurance for international transport of passengers,Zero-rate under section 21(3)(c),travel table_1
Supply of travel accommodation,Depends on the location of property  Standard-rate if the property is located in Singapore  Outside the scope of GST if the property is located outside Singapore,travel table_1
Supply of outbound tour package,Zero-rate under section 21(3)(i),travel table_1
Supply of inbound tour package,Standard-rate,travel table_1
