Date,Day,Holiday image,Holiday name,context
1 January 2025,Wednesday,,"New Year’s Day1 January 2025, Wednesday",public-holidays table_2
29 January 2025 30 January 2025,Wednesday Thursday,,"Chinese New Year29 January 2025 - 30 January 2025, Wednesday - Thursday",public-holidays table_2
31 March 2025,Monday,,"Hari Raya Puasa31 March 2025, Monday* Subject to further confirmation.",public-holidays table_2
18 April 2025,Friday,,"Good Friday18 April 2025, Friday",public-holidays table_2
1 May 2025,Thursday,,"Labour Day1 May 2025, Thursday",public-holidays table_2
12 May 2025,Monday,,"Vesak Day12 May 2025, Monday",public-holidays table_2
7 June 2025,Saturday,,"Hari Raya Haji7 June 2025, Saturday* Subject to further confirmation.",public-holidays table_2
9 August 2025,Saturday,,"National Day9 August 2025, Saturday",public-holidays table_2
20 October 2025,Monday,,"Deepavali20 October 2025, Monday",public-holidays table_2
25 December 2025,Thursday,,"Christmas Day25 December 2025, Thursday",public-holidays table_2
