Delivery of gold on,1 Feb 2024,context
"90th day from delivery of goldOMV of gold is $1,000",1 May 2024,gold-jewellery             Example: Price of gold not fixed up to 90th day        
"After 90 days from delivery of goldPrice fixed at $1,200",1 Jul 2024,gold-jewellery             Example: Price of gold not fixed up to 90th day        
