YA,Basis Period,Revenue,Expenses,context
2020,15 Apr 2019 to 30 Jun 2019,"($120,000 ÷ 443 days) x 77 days","($60,000 ÷ 443 days) x 77 days",basic-guide-to-corporate-income-tax-for-companies             Attribution of Profits Losses for New Companies        
2021,1 Jul 2019 - 30 Jun 2020,"($120,000 ÷ 443 days) x 366 days","($60,000 ÷ 443 days) x 366 days",basic-guide-to-corporate-income-tax-for-companies             Attribution of Profits Losses for New Companies        
