Types of additional rental component,Additional rent subject to stamp duty,context
"Based on a percentage of GTO, subject to a maximum secured sum",The maximum secured sum,renting-a-property             Lease with Variable Rent        
"Based on a percentage of GTO, subject to a minimum secured sum",The higher of the amount derived from the estimated GTO or the minimum secured sum,renting-a-property             Lease with Variable Rent        
