Year of Assessment,Period of employment,Tax residency status,context
2023,1 Jun 2022 to 31 Dec 2022 (214 days)Overseas business trip (164 days)Physical presence in Singapore (50 days),Tax resident,working-out-my-tax-residency             Example 5: Employment includes overseas business trips        
2024,1 Jan 2023 to 30 Jul 2023 (211 days)Overseas business trips (161 days)Physical presence in Singapore (50 days),Tax resident,working-out-my-tax-residency             Example 5: Employment includes overseas business trips        
