To/From Outside Singapore,Not applicable.,context
Within FTZ or Designated Area,Zero-rated only if on imported goods or goods for export.(Regarded as part and parcel of handling services within FTZ or designated area.),logistics-and-freight-forwarding             Zero-Rating Local Transportation Services        
Within Singapore but Outside FTZs or Designated Areas,"Zero-rated only under these scenarios:Scenario 1Local transportation services are supplied to and directly benefitting an overseas person in business capacity for the first leg of import. First leg of import means from the entry point in Singapore (i.e. FTZ or designated area) to the  first destination in Singapore.With effect from 1 Jan 2020, zero-rating is extended to such services supplied to an overseas person in business capacity and directly benefitting a GST-registered person in Singapore.Scenario 2Local transportation services are supplied to an overseas customer (in business or personal capacity) on goods for export.",logistics-and-freight-forwarding             Zero-Rating Local Transportation Services        
