Period,Date of Death From 1 Jan 2005 to 14 Feb 2008,context
"30 days after the date of NOA or 6 months after the date of death, whichever is later",6%,late-payment-or-non-payment-of-estate-duty table_0
One month after the imposition of the 6% penalty per year,7%,late-payment-or-non-payment-of-estate-duty table_0
For each completed month that duty/interest remains unpaid,8% (Incremental of 1% up to maximum of 12% per year),late-payment-or-non-payment-of-estate-duty table_0
