Annual Value ($),Effective 1 Jan 2024,Property Tax Payable,context
"First 30,000 Next $15,000",12% 20%,"$3,600 $3,000",property-tax-rates Non-owner-occupier residential tax rates
"First $45,000 Next $15,000",- 28%,"$6,600 $4,200",property-tax-rates Non-owner-occupier residential tax rates
"First $60,000 Above $60,000",- 36%,"$10,800",property-tax-rates Non-owner-occupier residential tax rates
