Tax Computation,YA 2019 ($),YA 2020 ($),context
Taxable gain/ chargeable income,NIL,"300,000 (400,000 - 100,000)",specific-topics Financial Assets on Revenue Account
Is tax payable by Company X?,No,Yes,specific-topics Financial Assets on Revenue Account
