Preparer,Approver,context
Can complete the WHT filing and save it as a draft or submit to Approver.There will be an acknowledgement page to show your submission to Approver is successful.,Can complete the WHT filing and save it as a draft or review the WHT filing completed by a Preparer.,how-to-file Staff third party filing for the organisation for the first time
"Cannot submit the WHT filing to IRAS.Has to inform the Approver that the draft or submission is ready for review and approval before submission to IRAS. The Approver has to review and grant approval within 60 days, otherwise the above draft/submission will be deleted.",Can submit the WHT filing to IRAS.,how-to-file Staff third party filing for the organisation for the first time
