Revenue,ECI,Does my company need to file ECI?,context
$5 million,"$100,000",Yes,estimated-chargeable-income-(eci)-filing             ECI Filing Waiver        
$10 million,Nil,Yes,estimated-chargeable-income-(eci)-filing             ECI Filing Waiver        
$5 million,Nil,No,estimated-chargeable-income-(eci)-filing             ECI Filing Waiver        
