Year,GST Rate,context
1 Apr 1994 to 31 Dec 2002,3%,current-gst-rates table_0
1 Jan 2003 to 31 Dec 2003,4%,current-gst-rates table_0
1 Jan 2004 to 30 Jun 2007,5%,current-gst-rates table_0
1 Jul 2007 to 31 Dec 2022,7%,current-gst-rates table_0
1 Jan 2023 to 31 Dec 2023,8%,current-gst-rates table_0
