S/No.,Entity ID,Name of Approved Person,Effective Date of Approval,Status,context
1,200101382E,Metalor Technologies Singapore Pte Ltd,06/06/2013,Approved Refiner - Active,approved-refiner-and-consolidator-scheme-(arcs)             The businesses currently approved under the ARCS are published in the table below.        
2,201224451E,YLG Bullion Singapore Pte. Ltd.,07/04/2015,Approved Consolidator - Active,approved-refiner-and-consolidator-scheme-(arcs)             The businesses currently approved under the ARCS are published in the table below.        
