Pass type,Who is it for,context
Employment Pass,"For foreign professionals, managers and executives. Candidates need to earn at least $5,000 a month and pass the Complementarity Assessment Framework (COMPASS).",passes-and-permits#MainContent table_0
EntrePass,For foreign entrepreneurs who are keen to start and operate a business in Singapore that is venture-backed or possesses innovative technologies.,passes-and-permits#MainContent table_0
Personalised Employment Pass,For high-earning existing Employment Pass holders or overseas foreign professionals. The PEP offers greater flexibility than an Employment Pass.,passes-and-permits#MainContent table_0
Overseas Networks & Expertise Pass,"For top talent in business, arts and culture, sports, as well as academia and research.",passes-and-permits#MainContent table_0
