Related party loan not exceeding S$15 million obtained or provided during the period,Indicative margin,context
1 Jan 2022 to 31 Dec 2022,+ 180 bps (1.80%),transfer-pricing Related Party Loans
1 Jan 2023 to 31 Dec 2023,+ 230 bps (2.30%),transfer-pricing Related Party Loans
1 Jan 2024 to 31 Dec 2024 [NEW!],+ 220 bps (2.20%),transfer-pricing Related Party Loans
