Artiste fees,"$5,000",context
Hotel accommodation provided ($200 a day x 20 days),"$4,000 (Taxable)",withholding-tax-calculations-for-non-resident-public-entertainer table_1
Less airfare paid by the non-resident public entertainer,"$1,500 (Deductible)",withholding-tax-calculations-for-non-resident-public-entertainer table_1
Taxable Gross Income,"$7,500",withholding-tax-calculations-for-non-resident-public-entertainer table_1
Withholding Tax @ 15%*,"$1,125",withholding-tax-calculations-for-non-resident-public-entertainer table_1
