Expenditure incurred during the period,Specified Expenditure Cap,context
1 Apr 2012 to YA 2018,"$100,000 per YA",double-tax-deduction-for-internationalisation-scheme Specified Expenditure Cap
YA 2019 to 31 Dec 2025,"$150,000 per YA",double-tax-deduction-for-internationalisation-scheme Specified Expenditure Cap
