Total value of goods,Do I need to pay GST?,context
$200,No. The CIF value is not more than $400.,consumers-importing-goods-into-singapore table_0
$450,Yes. The CIF value is more than $400. GST payable = $450 X 9% = $40.50,consumers-importing-goods-into-singapore table_0
