Section 21(3)(a)Section 21(3)(b)Section 21(3)(c),International transportation (including local transportation and handling services ancillary to international transportation).,context
Section 21(3)(l),Handling or storage services provided within FTZs and designated areas on imported goods or goods for export.,logistics-and-freight-forwarding Zero-Rating of Services
Section 21(3)(k),"Handling, transportation, or storage services provided within Singapore (but outside FTZs and designated areas) at the first leg of import supplied to and directly benefitting an overseas person in business capacity.With the introduction of reverse charge from 1 Jan 2020, zero-rating is extended to such services supplied to an overseas person in his business capacity and directly benefitting a GST-registered person who belongs in Singapore.",logistics-and-freight-forwarding Zero-Rating of Services
Section 21(3)(g),Services provided to an overseas customer that are supplied directly in connection with goods for exports.,logistics-and-freight-forwarding Zero-Rating of Services
