Unnamed: 0,Activity,Remarks,context
1,IRAS receives advance ruling application via email,IRAS will acknowledge receipt of the application via email within 3 working days of receipt of the application.,advance-ruling-system-for-income-tax             Application Review Process        
2,IRAS issues first query letter with a view to accept the application/ IRAS rejects the application,"Within 6 weeks of receipt of application.After reviewing the application, IRAS may write to you or your authorised tax agent for additional information to process your ruling request. We will process your ruling request only when the additional information has been submitted.To help us expedite the review of your application, ensure that you provide complete/ detailed information in your ruling requests.",advance-ruling-system-for-income-tax             Application Review Process        
3,IRAS receives Applicant's reply,,advance-ruling-system-for-income-tax             Application Review Process        
4,IRAS issues second query letter,Within 6 weeks of receipt of first reply.,advance-ruling-system-for-income-tax             Application Review Process        
5,IRAS receives Applicant's reply,,advance-ruling-system-for-income-tax             Application Review Process        
6,IRAS issues letter of offer and informs Applicant of the estimated fees to provide a ruling/ IRAS rejects the application,"Within 6 weeks of receipt of second reply. IRAS assumes that full information has been made available at this stage. If otherwise, IRAS reserves the right to request for further information.",advance-ruling-system-for-income-tax             Application Review Process        
7,IRAS receives Applicant's acceptance of offer letter and payment for the estimated fees,,advance-ruling-system-for-income-tax             Application Review Process        
8,IRAS issues advance ruling,"Within 8 weeks (or 4 weeks if the ruling request relates solely to the adequacy of economic substance under Section 10L of the Income Tax Act 1947) from date of receipt of acceptance letter, payment for the estimated fees or complete information, whichever is later.",advance-ruling-system-for-income-tax             Application Review Process        
