Unutilised Capital Allowances,Unutilised Trade Losses,Unutilised Donations,context
Company must satisfy the shareholding test.,Company must satisfy the shareholding test.,Company must satisfy the shareholding test.,unutilised-items-(capital-allowances-trade-losses-donations)             Qualifying Conditions        
There must be no change in the company's principal activities.,-,-,unutilised-items-(capital-allowances-trade-losses-donations)             Qualifying Conditions        
