Circular,Date,Category,context
OSHD / OSHI / CS / 01-2015 Collapse of reinforcement cage for the thick concrete slab,1 Sep 2015,Construction activity,wsh-circulars table_9
OSHD / SPECS / ESB / LE / 02 / 2015 Requirement for data loggers for mobile cranes,1 Aug 2015,Crane,wsh-circulars table_9
OSHD / SPECS / MHI / PS / 01-2015 Hazards and controls of combustible dusts,23 Jul 2015,Fire / explosions,wsh-circulars table_9
OSHD / SPECS / ESB / LE / 01 / 2015 Tower crane control circuit systems,8 Jul 2015,Lifting Equipment,wsh-circulars table_9
20150618-67 Enhanced demerit points system for the construction industry,18 Jun 2015,Construction activity,wsh-circulars table_9
Safe use of storage racks,7 May 2015,Others,wsh-circulars table_9
