To/From Outside Singapore,Zero-rated to both local and overseas customers.,context
Within FTZ or Designated Area,Not applicable.,logistics-and-freight-forwarding             Zero-Rating International Transportation Services        
Within Singapore But Outside FTZs or Designated Areas,Not applicable.,logistics-and-freight-forwarding             Zero-Rating International Transportation Services        
