Proportion of gross revenue receipts received from members,Tax treatment,context
≥50%,Not deemed to be carrying on a business:Gross revenue receipts from operating activities are not taxableOther sources of income derived from dealings with non-members are taxable,overview_bodiesofpersons table_0
<50%,Deemed to be carrying on a business:Operating surplus (gross revenue receipts less tax-deductible expenses) is taxableOther sources of income derived from dealings with non-members are taxable,overview_bodiesofpersons table_0
