Chargeable income reported in Form C-S/ Form C-S (Lite)/ Form C,Company’s action regarding payment,context
Less than ECI amount declared earlier,Excess tax paid earlier will be refunded automatically.,estimated-chargeable-income-(eci)-filing Difference in ECI Amount Declared and Chargeable Income Reported in Form C-S Form C-S (Lite) Form C
More than ECI amount declared earlier,Pay the additional tax within 1 month from the date of the Notice of Assessment.,estimated-chargeable-income-(eci)-filing Difference in ECI Amount Declared and Chargeable Income Reported in Form C-S Form C-S (Lite) Form C
