To/From Outside Singapore,Zero-rated only if contractually provided by same supplier. Can zero-rate to both local and overseas customers.,context
Within FTZ or Designated Area,Zero-rated only if contractually provided by same supplier. Can zero-rate to both local and overseas customers.,logistics-and-freight-forwarding             Zero-Rating International and Local Transportation Services (When both international and local transportation services are provided together as one supply)        
Within Singapore But Outside FTZs or Designated Areas,Zero-rated only if contractually provided by same supplier. Can zero-rate to both local and overseas customers.,logistics-and-freight-forwarding             Zero-Rating International and Local Transportation Services (When both international and local transportation services are provided together as one supply)        
