Jurisdiction,Exchange relationship effective from,context
76. San Marino,FY 2019,country-by-country-reporting-(cbcr)             List of Jurisdictions        
77. Saudi Arabia,FY 2018,country-by-country-reporting-(cbcr)             List of Jurisdictions        
78. Seychelles,FY 2019,country-by-country-reporting-(cbcr)             List of Jurisdictions        
79. Slovak Republic,FY 2016,country-by-country-reporting-(cbcr)             List of Jurisdictions        
80. Slovenia,FY 2016,country-by-country-reporting-(cbcr)             List of Jurisdictions        
81. South Africa,FY 2016,country-by-country-reporting-(cbcr)             List of Jurisdictions        
82. Spain,FY 2016,country-by-country-reporting-(cbcr)             List of Jurisdictions        
83. Sweden,FY 2016,country-by-country-reporting-(cbcr)             List of Jurisdictions        
84. Switzerland,FY 2018,country-by-country-reporting-(cbcr)             List of Jurisdictions        
85. Thailand,FY 2023,country-by-country-reporting-(cbcr)             List of Jurisdictions        
86. Tunisia,FY 2020,country-by-country-reporting-(cbcr)             List of Jurisdictions        
87. Türkiye,FY 2020,country-by-country-reporting-(cbcr)             List of Jurisdictions        
88. Turks & Caicos Islands,FY 2020,country-by-country-reporting-(cbcr)             List of Jurisdictions        
89. Ukraine [NEW!],FY 2023,country-by-country-reporting-(cbcr)             List of Jurisdictions        
90. United Arab Emirates,FY 2019,country-by-country-reporting-(cbcr)             List of Jurisdictions        
91. United Kingdom,FY 2016,country-by-country-reporting-(cbcr)             List of Jurisdictions        
92. United States,FY 2021,country-by-country-reporting-(cbcr)             List of Jurisdictions        
93. Uruguay,FY 2017,country-by-country-reporting-(cbcr)             List of Jurisdictions        
