No.,Common errors,Getting it right,context
1,Excessive salary and bonus paid to related parties* for services rendered to the business.,"Salary, bonus and other payments made should commensurate with the services rendered and should be in line with market rate.",getting-individuals-to-comply             Claiming of expenses paid to related parties        
2,"Payments of salaries, allowances or CPF to related parties* when they are not employees of the business.","Salary, bonus and other payments made should commensurate with the services rendered and should be in line with market rate.",getting-individuals-to-comply             Claiming of expenses paid to related parties        
