Annual Value ($),Tax rate effective from 1 Jan 2015 to 31 Dec 2022,Property tax payable,context
"First $30,000 Next $15,000",10%12%,"$3,000$1,800",property-tax-rates             Non-Owner-Occupier Residential Tax Rates (Effective 1 Jan 2015 to 31 Dec 2022)        
"First $45,000Next $15,000",-14%,"$4,800$2,100",property-tax-rates             Non-Owner-Occupier Residential Tax Rates (Effective 1 Jan 2015 to 31 Dec 2022)        
"First $60,000Next $15,000",-16%,"$6,900$2,400",property-tax-rates             Non-Owner-Occupier Residential Tax Rates (Effective 1 Jan 2015 to 31 Dec 2022)        
"First $75,000Next $15,000",-18%,"$9,300$2,700",property-tax-rates             Non-Owner-Occupier Residential Tax Rates (Effective 1 Jan 2015 to 31 Dec 2022)        
"First $90,000Above $90,000",-20%,"$12,000",property-tax-rates             Non-Owner-Occupier Residential Tax Rates (Effective 1 Jan 2015 to 31 Dec 2022)        
